TRAITID	SORT	TRAIT	plat	SHORTNAME	id
1	7053	rs7605824:chr2:280819 AC079779.4;ACP1;ALKAL2;SH3YL1	DNA	DNA: rs7605824:chr2:280819 AC079779.4;ACP1;ALKAL2;SH3YL1	DNA: rs7605824:chr2:280819 AC079779.4;ACP1;ALKAL2;SH3YL1
10	7054	rs3093253:chr13:113774092 F10;F7;MCF2L	DNA	DNA: rs3093253:chr13:113774092 F10;F7;MCF2L	DNA: rs3093253:chr13:113774092 F10;F7;MCF2L
100	7055	rs10422359:chr19:52047077 SIGLEC6	DNA	DNA: rs10422359:chr19:52047077 SIGLEC6	DNA: rs10422359:chr19:52047077 SIGLEC6
101	7056	rs4744:chr1:20304926 PLA2G2A	DNA	DNA: rs4744:chr1:20304926 PLA2G2A	DNA: rs4744:chr1:20304926 PLA2G2A
102	7057	rs342706:chr13:92417058 GPC5	DNA	DNA: rs342706:chr13:92417058 GPC5	DNA: rs342706:chr13:92417058 GPC5
103	7058	rs6764279:chr3:186723975 ST6GAL1	DNA	DNA: rs6764279:chr3:186723975 ST6GAL1	DNA: rs6764279:chr3:186723975 ST6GAL1
104	7059	rs9302635:chr16:72144174 DHX38;PMFBP1;TXNL4B	DNA	DNA: rs9302635:chr16:72144174 DHX38;PMFBP1;TXNL4B	DNA: rs9302635:chr16:72144174 DHX38;PMFBP1;TXNL4B
105	7060	rs11814584:chr10:100123612 PYROXD2	DNA	DNA: rs11814584:chr10:100123612 PYROXD2	DNA: rs11814584:chr10:100123612 PYROXD2
106	7061	rs3820897:chr2:3642361 COLEC11	DNA	DNA: rs3820897:chr2:3642361 COLEC11	DNA: rs3820897:chr2:3642361 COLEC11
107	7062	rs1410996:chr1:196696933 CFH	DNA	DNA: rs1410996:chr1:196696933 CFH	DNA: rs1410996:chr1:196696933 CFH
108	7063	rs2278089:chr2:152146672 NMI;RBM43;TNFAIP6	DNA	DNA: rs2278089:chr2:152146672 NMI;RBM43;TNFAIP6	DNA: rs2278089:chr2:152146672 NMI;RBM43;TNFAIP6
109	7064	rs73088122:chr3:49432404 BSN;CDHR4;DAG1;RHOA;RNA5SP130;RNF123;RP11-949J7.8;TRAIP;USP4	DNA	DNA: rs73088122:chr3:49432404 BSN;CDHR4;DAG1;RHOA;RNA5SP130;RNF123;RP11-949J7.8;TRAIP;USP4	DNA: rs73088122:chr3:49432404 BSN;CDHR4;DAG1;RHOA;RNA5SP130;RNF123;RP11-949J7.8;TRAIP;USP4
11	7065	rs3865444:chr19:51727962 CD33	DNA	DNA: rs3865444:chr19:51727962 CD33	DNA: rs3865444:chr19:51727962 CD33
110	7066	rs8283:chr6:32083300 ATF6B	DNA	DNA: rs8283:chr6:32083300 ATF6B	DNA: rs8283:chr6:32083300 ATF6B
111	7067	rs58337722:chr1:27694362 MAP3K6	DNA	DNA: rs58337722:chr1:27694362 MAP3K6	DNA: rs58337722:chr1:27694362 MAP3K6
112	7068	rs2275697:chr1:205027737 CNTN2	DNA	DNA: rs2275697:chr1:205027737 CNTN2	DNA: rs2275697:chr1:205027737 CNTN2
113	7069	rs237252:chr5:35032769 AGXT2	DNA	DNA: rs237252:chr5:35032769 AGXT2	DNA: rs237252:chr5:35032769 AGXT2
114	7070	rs55758160:chr9:131685015 NUP188;PHYHD1;RP11-101E3.5;SH3GLB2	DNA	DNA: rs55758160:chr9:131685015 NUP188;PHYHD1;RP11-101E3.5;SH3GLB2	DNA: rs55758160:chr9:131685015 NUP188;PHYHD1;RP11-101E3.5;SH3GLB2
115	7071	rs77384136:chr19:8135369 CCL25;FBN3	DNA	DNA: rs77384136:chr19:8135369 CCL25;FBN3	DNA: rs77384136:chr19:8135369 CCL25;FBN3
116	7072	rs11229063:chr11:57369730 AP000662.4;SERPING1	DNA	DNA: rs11229063:chr11:57369730 AP000662.4;SERPING1	DNA: rs11229063:chr11:57369730 AP000662.4;SERPING1
117	7073	rs9892586:chr17:34313915 CCL14;CCL15	DNA	DNA: rs9892586:chr17:34313915 CCL14;CCL15	DNA: rs9892586:chr17:34313915 CCL14;CCL15
118	7074	rs73078357:chr3:48695834 CELSR3;IP6K2;NCKIPSD	DNA	DNA: rs73078357:chr3:48695834 CELSR3;IP6K2;NCKIPSD	DNA: rs73078357:chr3:48695834 CELSR3;IP6K2;NCKIPSD
119	7075	rs2233154:chr19:41281346 MIA;RAB4B;SNRPA	DNA	DNA: rs2233154:chr19:41281346 MIA;RAB4B;SNRPA	DNA: rs2233154:chr19:41281346 MIA;RAB4B;SNRPA
12	7076	rs73224662:chr4:15716089 BST1;FBXL5	DNA	DNA: rs73224662:chr4:15716089 BST1;FBXL5	DNA: rs73224662:chr4:15716089 BST1;FBXL5
120	7077	rs73342855:chr14:94661769 PPP4R4	DNA	DNA: rs73342855:chr14:94661769 PPP4R4	DNA: rs73342855:chr14:94661769 PPP4R4
121	7078	rs4646457:chr7:99245080 CYP3A5;GS1-259H13.2;GS1-259H13.7;ZSCAN25	DNA	DNA: rs4646457:chr7:99245080 CYP3A5;GS1-259H13.2;GS1-259H13.7;ZSCAN25	DNA: rs4646457:chr7:99245080 CYP3A5;GS1-259H13.2;GS1-259H13.7;ZSCAN25
122	7079	rs6546847:chr2:73785358 ALMS1;ALMS1P1;NAT8	DNA	DNA: rs6546847:chr2:73785358 ALMS1;ALMS1P1;NAT8	DNA: rs6546847:chr2:73785358 ALMS1;ALMS1P1;NAT8
123	7080	rs5030062:chr3:186454180 KNG1	DNA	DNA: rs5030062:chr3:186454180 KNG1	DNA: rs5030062:chr3:186454180 KNG1
124	7081	rs9332639:chr1:169493895 F5	DNA	DNA: rs9332639:chr1:169493895 F5	DNA: rs9332639:chr1:169493895 F5
125	7082	rs6995270:chr8:134513219 ST3GAL1	DNA	DNA: rs6995270:chr8:134513219 ST3GAL1	DNA: rs6995270:chr8:134513219 ST3GAL1
126	7083	rs17482078:chr5:96118866 CTD-2260A17.2;ERAP1	DNA	DNA: rs17482078:chr5:96118866 CTD-2260A17.2;ERAP1	DNA: rs17482078:chr5:96118866 CTD-2260A17.2;ERAP1
127	7084	rs2306272:chr3:66434643 LRIG1	DNA	DNA: rs2306272:chr3:66434643 LRIG1	DNA: rs2306272:chr3:66434643 LRIG1
128	7085	rs9267665:chr6:31870856 C2;EHMT2;ZBTB12	DNA	DNA: rs9267665:chr6:31870856 C2;EHMT2;ZBTB12	DNA: rs9267665:chr6:31870856 C2;EHMT2;ZBTB12
129	7086	rs11216157:chr11:116711180 APOA1	DNA	DNA: rs11216157:chr11:116711180 APOA1	DNA: rs11216157:chr11:116711180 APOA1
13	7087	rs3745540:chr19:51535130 KLK12	DNA	DNA: rs3745540:chr19:51535130 KLK12	DNA: rs3745540:chr19:51535130 KLK12
130	7088	rs6916921:chr6:31520426 LTB;NCR3;NFKBIL1;TNF	DNA	DNA: rs6916921:chr6:31520426 LTB;NCR3;NFKBIL1;TNF	DNA: rs6916921:chr6:31520426 LTB;NCR3;NFKBIL1;TNF
131	7089	rs6707:chr20:24944166 APMAP;CST7;RP4-568C11.4	DNA	DNA: rs6707:chr20:24944166 APMAP;CST7;RP4-568C11.4	DNA: rs6707:chr20:24944166 APMAP;CST7;RP4-568C11.4
132	7090	rs11584921:chr1:207441975 CD55;RP11-6J21.2	DNA	DNA: rs11584921:chr1:207441975 CD55;RP11-6J21.2	DNA: rs11584921:chr1:207441975 CD55;RP11-6J21.2
133	7091	rs12724106:chr1:197127578 ASPM;CFHR4;ZBTB41	DNA	DNA: rs12724106:chr1:197127578 ASPM;CFHR4;ZBTB41	DNA: rs12724106:chr1:197127578 ASPM;CFHR4;ZBTB41
134	7092	rs2272011:chr17:1542190 SCARF1;SLC43A2	DNA	DNA: rs2272011:chr17:1542190 SCARF1;SLC43A2	DNA: rs2272011:chr17:1542190 SCARF1;SLC43A2
135	7093	rs10919544:chr1:161508763 FCGR3A;HSPA6	DNA	DNA: rs10919544:chr1:161508763 FCGR3A;HSPA6	DNA: rs10919544:chr1:161508763 FCGR3A;HSPA6
136	7094	rs12540545:chr7:76038848 SSC4D;ZP3	DNA	DNA: rs12540545:chr7:76038848 SSC4D;ZP3	DNA: rs12540545:chr7:76038848 SSC4D;ZP3
137	7095	rs1755685:chr13:113757192 F10;F7;MCF2L	DNA	DNA: rs1755685:chr13:113757192 F10;F7;MCF2L	DNA: rs1755685:chr13:113757192 F10;F7;MCF2L
138	7096	rs7198064:chr16:1272472 CACNA1H;TPSAB1;TPSG1	DNA	DNA: rs7198064:chr16:1272472 CACNA1H;TPSAB1;TPSG1	DNA: rs7198064:chr16:1272472 CACNA1H;TPSAB1;TPSG1
139	7097	rs34985488:chr7:100817901 MOGAT3;NAT16	DNA	DNA: rs34985488:chr7:100817901 MOGAT3;NAT16	DNA: rs34985488:chr7:100817901 MOGAT3;NAT16
14	7098	rs2153463:chr1:147124310 -	DNA	DNA: rs2153463:chr1:147124310 -	DNA: rs2153463:chr1:147124310 -
